Transaction_ID,Name,Platform,Publisher,Developer,Genre,Release_Date,Selling_Price,Discount,Region_Sales,Sales_Date,Rating
d07e2751,Counter-Strike,PS4,Rockstar Games,Infinity Ward,Simulation,2020-02-23,29.19,19,Europe,2021-06-28,2
2ecbbd36,World of Warcraft,Nintendo Switch,Epic Games,Game Freak,First Person Shooter,2019-05-04,28.78,34,America,2022-10-18,8
ca6e6c00,Pokemon,Mobile,Ubisoft,Valve,Simulation,2022-11-01,30.15,49,America,2022-07-26,7
245e9df7,Overwatch,PS5,Rockstar Games,Nintendo EAD,Sports,2022-07-20,38.74,22,America,2021-01-12,10
e29627d4,The Legend of Zelda,Mobile,Epic Games,Blizzard Entertainment,Role Playing,2019-03-10,22.71,0,America,2020-06-22,7
194ffac9,Assassin's Creed,PS4,Rockstar Games,Ubisoft Montreal,First Person Shooter,2023-01-30,47.69,11,America,2019-06-03,9
38c13819,League of Legends,PC,Activision,Game Freak,Role Playing,2020-11-03,46.81,9,Asia,2019-12-30,1
ad170ec7,Minecraft,PC,Microsoft,Epic Games,Role Playing,2022-08-10,37.11,2,Asia,2019-06-23,7
23346441,Madden NFL,PS5,Epic Games,Nintendo EAD,Strategy,2021-10-05,38.25,26,America,2021-10-11,5
789b2e80,Super Mario,Nintendo Switch,Blizzard Entertainment,Infinity Ward,Strategy,2021-06-12,57.31,6,Europe,2021-08-19,6
45b6e85c,Call of Duty,PS4,Epic Games,Infinity Ward,Simulation,2019-06-28,20.43,42,America,2019-07-11,6
d2d92f5d,Madden NFL,PC,Activision,Infinity Ward,Sports,2022-01-30,54.24,37,Europe,2021-08-13,5
587feffb,Madden NFL,PS5,Microsoft,Nintendo EAD,Role Playing,2019-09-21,25.68,3,Asia,2019-11-08,5
ffc98133,Grand Theft Auto,XBox One,Microsoft,Valve,Role Playing,2022-03-24,39.14,6,Europe,2019-11-30,3
1ce89627,World of Warcraft,Nintendo Switch,Nintendo,Respawn Entertainment,Simulation,2020-01-11,44.4,36,America,2019-10-12,2
a33fcfb2,Overwatch,XBox One,Electronic Arts,Ubisoft Montreal,First Person Shooter,2023-07-12,50.04,15,Europe,2020-10-29,6
1d9b4f66,Fortnite,Nintendo Switch,Nintendo,Infinity Ward,First Person Shooter,2020-03-31,32.61,41,America,2020-12-19,8
2160f53b,Minecraft,PS4,Nintendo,Valve,Sports,2020-03-31,55.95,15,Europe,2022-08-08,9
9fd587c8,Grand Theft Auto,PS5,Rockstar Games,Game Freak,Sports,2021-05-24,22.27,13,Asia,2022-12-18,4
c2e9a892,The Legend of Zelda,Mobile,Electronic Arts,Infinity Ward,Strategy,2021-02-17,31.12,23,Asia,2022-11-12,8
d8a83eca,Madden NFL,Mobile,Valve,Ubisoft Montreal,Sports,2020-05-13,34.81,39,Europe,2019-06-21,10
717a9c93,Fortnite,PS4,Rockstar Games,Ubisoft Montreal,Sports,2024-02-11,22.24,14,Asia,2020-12-21,3
fde0df0e,FIFA,XBox One,Nintendo,Rockstar North,First Person Shooter,2021-04-18,57.66,31,America,2022-03-20,7
5d8a5854,FIFA,Mobile,Epic Games,Ubisoft Montreal,First Person Shooter,2019-04-26,26.92,38,America,2022-07-08,5
6cadfa7e,Overwatch,PS5,Epic Games,Ubisoft Montreal,Simulation,2023-06-03,29.23,31,Asia,2021-06-21,1
4e0c1efc,FIFA,PS4,Microsoft,Valve,Strategy,2021-04-06,43.27,5,America,2020-08-16,6
bac53e6a,Fortnite,PS4,Microsoft,Rockstar North,Role Playing,2019-06-05,50.78,38,America,2021-03-01,4
d04f691c,Super Mario,PS4,Epic Games,EA Sports,Role Playing,2020-12-06,52.64,3,Asia,2021-02-06,3
f6e1053d,Fortnite,XBox One,Electronic Arts,Game Freak,Role Playing,2021-10-07,26.83,0,America,2024-01-01,8
bdd062c8,League of Legends,PS4,Nintendo,EA Sports,Sports,2024-01-22,21.16,3,Asia,2023-06-15,4
0182336f,Minecraft,PC,Valve,Respawn Entertainment,Strategy,2020-04-15,30.83,41,America,2020-12-31,10
6669e5f0,Madden NFL,Nintendo Switch,Epic Games,Blizzard Entertainment,Sports,2022-06-06,56.72,1,Europe,2020-05-29,7
aa132562,Call of Duty,PC,Rockstar Games,Blizzard Entertainment,Strategy,2021-07-15,51.7,11,Europe,2020-09-12,9
32ce8290,World of Warcraft,XBox One,Activision,Nintendo EAD,Simulation,2021-06-19,21.87,45,America,2019-11-13,9
5e09c925,Assassin's Creed,XBox One,Rockstar Games,Blizzard Entertainment,Strategy,2022-05-13,41.61,37,Europe,2021-11-26,6
1ab5ff2e,Pokemon,PS4,Nintendo,Ubisoft Montreal,Strategy,2024-02-09,38.34,41,Europe,2023-02-20,10
85c84f4b,FIFA,PS5,Microsoft,Infinity Ward,Strategy,2020-01-05,57.86,21,America,2020-11-13,4
e1e0f7dd,Battlefield,Mobile,Epic Games,Nintendo EAD,Strategy,2020-12-12,51.98,27,America,2021-02-17,5
b56ef724,Overwatch,Mobile,Ubisoft,Nintendo EAD,Role Playing,2020-05-02,52.38,6,America,2021-03-31,3
1960dde3,FIFA,Mobile,Blizzard Entertainment,EA Sports,Simulation,2019-05-04,51.89,24,Asia,2024-01-07,9
ff555474,Pokemon,PC,Epic Games,Respawn Entertainment,First Person Shooter,2021-12-18,56.69,9,Asia,2022-04-29,9
f2b97663,Minecraft,XBox One,Rockstar Games,Infinity Ward,Simulation,2020-04-26,20.66,11,Asia,2021-12-28,4
6645ff8e,Super Mario,Nintendo Switch,Electronic Arts,Nintendo EAD,Strategy,2023-12-05,38.17,21,Asia,2021-01-11,10
a3493d50,Counter-Strike,XBox One,Nintendo,Ubisoft Montreal,Strategy,2022-04-14,26.52,24,America,2019-11-18,1
7af6fb0c,League of Legends,PC,Rockstar Games,Valve,Sports,2021-11-23,26.54,45,Europe,2022-02-02,4
f3e8c05d,Battlefield,Mobile,Nintendo,Respawn Entertainment,Strategy,2021-08-23,51.88,45,America,2019-03-15,10
75c908cf,Super Mario,Nintendo Switch,Nintendo,Infinity Ward,Simulation,2022-06-17,31.71,43,America,2022-01-23,8
67e0fe56,Fortnite,Nintendo Switch,Nintendo,Infinity Ward,First Person Shooter,2020-08-21,55.24,17,America,2019-06-05,10
b71e5d0a,League of Legends,PS4,Nintendo,Nintendo EAD,Sports,2020-04-05,22.34,44,America,2020-10-27,10
7f759d6f,The Legend of Zelda,PS5,Valve,Infinity Ward,Sports,2021-09-27,52.57,31,America,2023-11-30,8
b229aa66,World of Warcraft,Nintendo Switch,Nintendo,EA Sports,First Person Shooter,2019-04-25,48.89,4,America,2021-11-05,9
700a97b4,FIFA,PS4,Nintendo,Infinity Ward,Simulation,2023-09-25,56.65,32,Europe,2022-11-07,4
bf513ef1,Call of Duty,PS5,Nintendo,Rockstar North,Strategy,2020-08-27,30.36,47,Europe,2020-02-01,4
84ed6c62,Counter-Strike,Mobile,Electronic Arts,Game Freak,First Person Shooter,2019-11-16,55.32,23,America,2019-12-22,2
34c55f1e,The Legend of Zelda,PS4,Blizzard Entertainment,Rockstar North,Simulation,2023-02-16,38.5,22,America,2023-12-27,6
53abd872,Madden NFL,XBox One,Ubisoft,Epic Games,Simulation,2022-06-08,51.05,38,America,2022-07-20,1
292b082c,Minecraft,XBox One,Electronic Arts,Infinity Ward,Simulation,2019-09-15,24.06,19,America,2019-04-07,4
e1e1f329,FIFA,PS5,Electronic Arts,Blizzard Entertainment,Strategy,2019-08-06,56.69,0,Asia,2019-06-24,3
55629818,Super Mario,PS4,Rockstar Games,Blizzard Entertainment,Strategy,2020-04-30,45.69,46,Europe,2019-03-30,2
a7ba02da,The Legend of Zelda,PC,Activision,Respawn Entertainment,Role Playing,2022-07-15,47.64,28,Europe,2020-07-26,10
db9c9c8d,Super Mario,PS4,Ubisoft,Nintendo EAD,Sports,2023-09-02,32.84,37,America,2023-10-12,9
1b15b018,FIFA,PC,Epic Games,Epic Games,Strategy,2023-02-26,30.42,39,Asia,2024-02-16,6
cbe21195,Overwatch,Nintendo Switch,Microsoft,Rockstar North,Role Playing,2020-10-18,24.23,9,Asia,2019-03-28,10
ec4f14d0,Minecraft,Nintendo Switch,Epic Games,Respawn Entertainment,Simulation,2020-05-26,51.47,14,America,2022-11-09,7
c61e3916,Assassin's Creed,Nintendo Switch,Rockstar Games,Ubisoft Montreal,Sports,2020-04-07,44.03,0,Europe,2019-04-28,6
49fac9b7,Counter-Strike,PS4,Ubisoft,Game Freak,Sports,2020-11-15,54.49,18,Europe,2024-01-28,6
7ef5baa3,Super Mario,PS5,Valve,EA Sports,First Person Shooter,2021-02-06,57.03,50,Asia,2022-10-15,2
020514b3,Fortnite,PC,Nintendo,EA Sports,Role Playing,2020-05-18,22.0,49,America,2022-06-06,1
86763753,Grand Theft Auto,PS4,Epic Games,EA Sports,Strategy,2022-12-14,34.39,22,Europe,2020-05-23,3
866012ac,Fortnite,Nintendo Switch,Rockstar Games,Epic Games,Sports,2020-06-28,41.66,46,America,2019-11-12,6
f65200ad,Fortnite,XBox One,Microsoft,Valve,Simulation,2024-01-30,41.47,13,America,2019-10-04,1
b74b5483,The Legend of Zelda,Nintendo Switch,Activision,Nintendo EAD,Sports,2019-03-30,56.82,8,Europe,2023-05-31,7
e6af3df6,Counter-Strike,PS5,Electronic Arts,Game Freak,First Person Shooter,2020-02-23,26.16,47,Asia,2019-04-25,7
878baa04,Minecraft,Nintendo Switch,Nintendo,Blizzard Entertainment,Strategy,2023-06-16,47.11,14,Asia,2020-11-20,7
02ee4a95,World of Warcraft,Mobile,Rockstar Games,Nintendo EAD,Role Playing,2019-09-08,45.16,5,Europe,2024-02-17,9
314206e9,Battlefield,PS5,Rockstar Games,Game Freak,First Person Shooter,2020-09-20,33.58,24,Asia,2023-10-28,7
23d8a26f,Counter-Strike,XBox One,Nintendo,Epic Games,Role Playing,2020-04-23,54.89,41,Europe,2022-06-14,1
89e7a138,Counter-Strike,PC,Microsoft,Blizzard Entertainment,Simulation,2019-11-06,22.56,40,Europe,2021-11-24,7
7edcb2fa,FIFA,Nintendo Switch,Rockstar Games,Valve,Role Playing,2023-03-24,26.22,29,America,2023-06-06,8
2ea26d51,League of Legends,PS5,Nintendo,Epic Games,Simulation,2022-11-15,43.95,29,Europe,2022-07-02,4
b202479f,Counter-Strike,PC,Rockstar Games,Nintendo EAD,First Person Shooter,2019-05-03,52.11,50,America,2020-07-10,5
e84e38af,Grand Theft Auto,XBox One,Electronic Arts,Valve,Simulation,2024-02-13,43.4,34,Europe,2021-07-25,8
1dabcf7f,Pokemon,Mobile,Blizzard Entertainment,Epic Games,First Person Shooter,2023-08-23,47.52,49,America,2020-08-28,7
0b3ce22d,World of Warcraft,PS5,Electronic Arts,Blizzard Entertainment,First Person Shooter,2019-09-15,35.41,4,Europe,2021-09-03,8
8654342a,The Legend of Zelda,XBox One,Electronic Arts,Valve,Sports,2022-03-07,50.33,18,America,2022-12-05,2
6ae5eca8,Grand Theft Auto,XBox One,Activision,Valve,Strategy,2021-04-16,31.27,21,Asia,2022-08-20,5
dde52a41,Assassin's Creed,PS4,Ubisoft,EA Sports,Strategy,2021-10-16,30.19,24,America,2019-11-03,10
f0633f6c,Overwatch,PC,Blizzard Entertainment,Infinity Ward,Simulation,2020-10-25,40.29,18,America,2022-09-18,10
12f4d1e3,Minecraft,PS4,Activision,Blizzard Entertainment,First Person Shooter,2020-04-10,49.58,28,Europe,2023-02-16,9
c25e3c82,Battlefield,XBox One,Nintendo,Ubisoft Montreal,Strategy,2021-01-26,57.89,46,Europe,2022-08-04,7
de56dd07,Counter-Strike,PS5,Electronic Arts,Respawn Entertainment,Sports,2019-10-27,39.42,18,Europe,2020-01-01,4
94f0031a,World of Warcraft,Nintendo Switch,Activision,Game Freak,Strategy,2020-03-01,45.09,15,Europe,2022-04-08,3
8c65b9fe,Pokemon,Mobile,Nintendo,Epic Games,First Person Shooter,2019-11-26,38.05,28,Asia,2022-03-18,9
3a9b50ed,The Legend of Zelda,Mobile,Valve,EA Sports,Simulation,2021-10-11,50.78,0,Europe,2023-03-22,10
4545e872,Counter-Strike,PS4,Activision,Nintendo EAD,Strategy,2020-11-07,23.05,50,Europe,2023-03-27,6
b50f418d,Fortnite,Nintendo Switch,Ubisoft,Rockstar North,Role Playing,2021-11-14,27.45,47,America,2023-02-27,10
adc22fe1,Super Mario,PS4,Electronic Arts,Valve,Strategy,2020-03-05,25.2,7,Asia,2019-11-14,2
0cb7780f,Madden NFL,Mobile,Microsoft,Nintendo EAD,Strategy,2020-03-02,23.44,39,Asia,2019-11-17,1
9bc5d5b8,Madden NFL,PC,Activision,Epic Games,Sports,2021-11-19,21.89,18,Europe,2023-08-19,4
7d3f161d,Call of Duty,Mobile,Electronic Arts,Valve,First Person Shooter,2019-06-14,41.24,48,Asia,2020-12-04,9
9a808788,The Legend of Zelda,Mobile,Microsoft,Nintendo EAD,Role Playing,2020-09-12,58.64,22,America,2023-06-02,6
b7759c18,Super Mario,Nintendo Switch,Activision,EA Sports,Simulation,2021-03-19,21.68,12,Europe,2021-11-16,3
e08f94a4,Call of Duty,PS4,Electronic Arts,Blizzard Entertainment,Strategy,2023-09-15,47.88,43,America,2020-06-01,5
f6ad741a,Madden NFL,XBox One,Electronic Arts,Rockstar North,Sports,2023-11-01,59.3,39,Asia,2019-08-21,3
844488c9,Fortnite,PS5,Valve,Infinity Ward,Role Playing,2023-05-10,42.11,44,Europe,2020-05-07,8
34a53d7a,Overwatch,XBox One,Nintendo,Nintendo EAD,Strategy,2021-07-27,52.29,6,America,2022-01-07,7
7a20933b,Minecraft,PC,Valve,Game Freak,Role Playing,2022-01-31,49.71,5,America,2019-10-07,3
220897cc,FIFA,PC,Nintendo,Game Freak,First Person Shooter,2019-10-06,22.0,42,America,2022-06-01,3
caac09cf,The Legend of Zelda,PS4,Rockstar Games,EA Sports,Simulation,2020-03-17,56.65,28,America,2022-05-06,2
5a8fbfee,Battlefield,XBox One,Epic Games,Infinity Ward,First Person Shooter,2021-05-30,59.04,31,Europe,2023-01-25,6
8577cb75,League of Legends,Mobile,Activision,Game Freak,Sports,2021-12-02,22.96,27,America,2020-05-06,6
d04261f2,Battlefield,Nintendo Switch,Electronic Arts,Infinity Ward,Role Playing,2021-06-10,54.2,26,America,2019-11-02,10
3ed9b472,World of Warcraft,PS4,Rockstar Games,Epic Games,Simulation,2020-11-01,54.52,45,Asia,2021-02-07,7
41242aa1,Fortnite,PS4,Microsoft,Epic Games,First Person Shooter,2022-01-22,39.39,27,Europe,2019-07-26,4
12396416,The Legend of Zelda,XBox One,Valve,Respawn Entertainment,First Person Shooter,2021-01-25,47.74,21,Asia,2023-03-14,8
3fa4f8b0,Counter-Strike,PS5,Epic Games,Ubisoft Montreal,Role Playing,2023-11-17,51.92,3,Europe,2023-05-20,5
982e30a6,Assassin's Creed,PC,Epic Games,Epic Games,Sports,2022-01-07,57.3,22,Europe,2021-06-29,4
59a7e6b6,Overwatch,Mobile,Rockstar Games,EA Sports,Role Playing,2021-06-29,43.93,11,America,2022-07-05,10
8cefab48,Battlefield,Nintendo Switch,Nintendo,Infinity Ward,Sports,2019-09-17,34.1,42,Asia,2020-04-30,7
d02bd1eb,Battlefield,PC,Valve,Epic Games,Sports,2021-11-08,43.51,30,America,2023-12-10,4
ff18503d,Counter-Strike,Mobile,Nintendo,Respawn Entertainment,Simulation,2021-07-31,44.78,41,Asia,2022-12-01,10
cdbe037a,Assassin's Creed,PS4,Nintendo,Ubisoft Montreal,Role Playing,2021-07-20,30.07,48,America,2022-08-25,10
722c4374,Grand Theft Auto,PS5,Valve,Game Freak,Simulation,2021-10-09,34.2,26,America,2023-06-25,5
56785de2,Minecraft,PS4,Electronic Arts,Infinity Ward,Role Playing,2021-02-25,43.93,4,Europe,2020-05-21,10
b2646ce5,Grand Theft Auto,PS5,Electronic Arts,Ubisoft Montreal,Role Playing,2020-10-28,49.41,8,Asia,2023-03-04,6
4b7f646e,The Legend of Zelda,XBox One,Valve,Ubisoft Montreal,Sports,2022-11-16,55.9,1,Europe,2020-11-02,10
f6b17dc3,World of Warcraft,Mobile,Activision,Game Freak,First Person Shooter,2020-04-06,24.38,50,America,2020-05-26,5
fc3e3380,Pokemon,PC,Nintendo,Infinity Ward,Sports,2023-01-14,24.08,36,Asia,2019-04-11,1
59a63bf4,Pokemon,PS4,Nintendo,Nintendo EAD,Sports,2022-03-31,27.02,10,Europe,2022-12-10,4
5c380477,Minecraft,PS5,Nintendo,Nintendo EAD,Strategy,2022-04-22,56.21,35,Asia,2024-01-30,9
eae14170,World of Warcraft,PS5,Microsoft,Ubisoft Montreal,Strategy,2021-08-17,57.81,5,Asia,2020-11-19,10
9bd40f77,League of Legends,PS4,Rockstar Games,Rockstar North,First Person Shooter,2021-09-08,49.94,44,America,2021-12-06,6
5e4eba6b,Overwatch,PC,Nintendo,Ubisoft Montreal,First Person Shooter,2022-02-08,29.99,41,Asia,2021-01-11,6
dfda96fb,Battlefield,Mobile,Activision,Valve,Role Playing,2020-04-17,42.3,20,America,2022-04-12,5
c0e0e2db,League of Legends,XBox One,Electronic Arts,Infinity Ward,First Person Shooter,2019-05-11,27.27,30,Asia,2019-11-18,7
4f40335e,Overwatch,XBox One,Nintendo,Epic Games,First Person Shooter,2022-10-18,20.86,35,Asia,2020-01-21,6
a471a045,Fortnite,Nintendo Switch,Nintendo,Infinity Ward,Role Playing,2020-02-03,54.29,3,Europe,2019-10-21,7
009c2fa4,The Legend of Zelda,Nintendo Switch,Ubisoft,Valve,First Person Shooter,2020-06-09,25.99,26,Europe,2021-12-01,6
88daf4aa,Grand Theft Auto,Nintendo Switch,Epic Games,Blizzard Entertainment,Sports,2021-09-20,24.52,42,America,2022-02-02,4
fb9524ae,Pokemon,PC,Valve,Infinity Ward,Role Playing,2023-10-24,27.05,4,Asia,2021-04-16,2
38c8e288,Assassin's Creed,Mobile,Rockstar Games,Respawn Entertainment,First Person Shooter,2019-04-06,47.17,46,Asia,2019-05-01,8
3300486d,FIFA,Mobile,Ubisoft,Blizzard Entertainment,Simulation,2022-08-05,47.4,39,Europe,2019-04-22,1
f94f3a1a,Madden NFL,Nintendo Switch,Electronic Arts,Epic Games,Sports,2021-06-16,30.43,3,Asia,2022-10-12,9
219b989a,Call of Duty,Nintendo Switch,Rockstar Games,Respawn Entertainment,First Person Shooter,2019-12-11,55.16,9,America,2023-11-30,8
fb0e7211,Super Mario,PC,Epic Games,Nintendo EAD,Strategy,2020-02-23,35.3,8,Europe,2021-04-08,4
0bd617f7,FIFA,Nintendo Switch,Blizzard Entertainment,Infinity Ward,Strategy,2020-04-20,58.32,15,Europe,2019-08-12,1
80e5d3ab,Grand Theft Auto,XBox One,Blizzard Entertainment,Blizzard Entertainment,Simulation,2019-08-07,56.35,4,Asia,2023-07-16,1
d38c144a,Counter-Strike,PS4,Nintendo,Respawn Entertainment,Strategy,2022-08-23,49.6,43,America,2020-07-07,3
60b934f7,Grand Theft Auto,XBox One,Nintendo,Ubisoft Montreal,First Person Shooter,2022-10-23,20.06,7,Asia,2020-12-15,2
d1ae0f51,Madden NFL,XBox One,Nintendo,Ubisoft Montreal,Simulation,2022-09-19,41.58,25,Asia,2021-12-25,1
3f06c50c,Counter-Strike,PS5,Blizzard Entertainment,Infinity Ward,Strategy,2019-12-24,27.82,30,Asia,2023-10-13,3
46053898,Overwatch,PS4,Electronic Arts,EA Sports,Sports,2020-04-09,59.05,40,Asia,2019-09-18,8
ca3a86c7,League of Legends,XBox One,Epic Games,Valve,First Person Shooter,2021-12-22,31.78,35,Europe,2021-02-12,4
2cc1bd43,FIFA,PS4,Electronic Arts,Ubisoft Montreal,Sports,2020-10-13,37.71,43,Asia,2019-10-05,7
d619d7aa,Overwatch,XBox One,Ubisoft,Epic Games,First Person Shooter,2021-02-09,56.19,28,Asia,2023-05-23,7
dee3313b,Overwatch,PC,Electronic Arts,Valve,Sports,2020-01-04,20.74,1,Asia,2022-02-27,4
d7ebbe41,League of Legends,PC,Nintendo,Game Freak,Role Playing,2022-03-06,40.09,24,Asia,2021-08-05,3
137006a4,Assassin's Creed,Nintendo Switch,Rockstar Games,Ubisoft Montreal,Simulation,2019-09-14,40.74,40,Europe,2020-10-25,6
be3e8557,Pokemon,PC,Ubisoft,Respawn Entertainment,Role Playing,2023-06-08,40.34,30,Europe,2021-03-31,7
3a7bac79,Minecraft,PS4,Epic Games,Respawn Entertainment,Strategy,2022-03-27,43.2,40,Asia,2022-05-16,8
6c25ed86,Pokemon,PS5,Microsoft,Valve,Sports,2020-03-25,33.22,27,America,2022-01-18,4
b8c3e20f,Super Mario,Nintendo Switch,Nintendo,Epic Games,First Person Shooter,2020-02-20,30.84,13,America,2019-04-13,3
7381b8c3,Call of Duty,XBox One,Activision,Rockstar North,Strategy,2020-04-23,20.83,21,America,2021-01-17,3
572e989e,Counter-Strike,PC,Electronic Arts,Ubisoft Montreal,First Person Shooter,2019-06-07,26.65,15,Asia,2022-03-05,4
62d7a7c6,World of Warcraft,Nintendo Switch,Epic Games,Game Freak,First Person Shooter,2021-04-30,54.41,8,America,2022-01-22,5
ad21a790,FIFA,PC,Ubisoft,Nintendo EAD,Role Playing,2019-05-13,44.55,9,Europe,2019-03-21,9
8f925e6e,Counter-Strike,Nintendo Switch,Electronic Arts,Rockstar North,Role Playing,2021-03-04,35.1,12,Asia,2021-03-13,8
3b6c1924,Battlefield,PS4,Blizzard Entertainment,Infinity Ward,Sports,2023-03-03,40.3,43,America,2020-09-06,5
89412491,Pokemon,PS4,Microsoft,Epic Games,Role Playing,2023-02-15,33.97,31,Europe,2020-08-20,10
aacb30de,Madden NFL,XBox One,Ubisoft,Epic Games,Strategy,2020-05-25,44.48,7,America,2021-11-04,4
efaa0ac5,Minecraft,Mobile,Valve,EA Sports,Strategy,2022-12-12,55.0,34,Europe,2022-12-19,10
d42a43a3,Madden NFL,Nintendo Switch,Microsoft,Nintendo EAD,Role Playing,2023-01-20,27.58,22,Asia,2023-08-25,2
07b26a7d,Counter-Strike,Mobile,Ubisoft,Valve,Simulation,2019-09-13,47.27,37,Europe,2021-08-14,7
697466f6,Fortnite,Mobile,Nintendo,Epic Games,Sports,2020-01-28,39.87,9,Asia,2019-04-30,7
3585a061,FIFA,PS5,Nintendo,Blizzard Entertainment,First Person Shooter,2022-07-02,44.96,4,America,2020-01-15,1
9fc3f41e,Minecraft,PS4,Blizzard Entertainment,Respawn Entertainment,Sports,2023-12-12,56.15,8,Europe,2020-11-07,2
8d72f041,Overwatch,XBox One,Microsoft,Ubisoft Montreal,Simulation,2020-08-26,35.89,24,America,2020-12-29,10
3af4a4d3,Grand Theft Auto,Nintendo Switch,Blizzard Entertainment,Infinity Ward,Simulation,2023-11-30,45.39,40,Europe,2020-07-27,2
33adbb7f,Assassin's Creed,XBox One,Nintendo,Respawn Entertainment,First Person Shooter,2020-01-06,28.37,33,Asia,2023-06-18,1
09d99100,Call of Duty,PS4,Electronic Arts,Epic Games,Strategy,2021-05-22,57.91,46,Asia,2021-01-30,10
984d1cb0,World of Warcraft,Mobile,Ubisoft,Blizzard Entertainment,Simulation,2021-06-29,43.91,18,America,2021-06-26,1
d33cb075,Battlefield,XBox One,Epic Games,Epic Games,Role Playing,2020-08-19,32.66,41,America,2020-09-20,5
db1448c1,World of Warcraft,Nintendo Switch,Rockstar Games,Epic Games,Role Playing,2023-01-14,29.33,32,Europe,2020-11-26,9
3b0ac578,Minecraft,PC,Activision,Respawn Entertainment,Role Playing,2020-10-15,27.4,23,America,2019-08-17,9
8f498abb,Pokemon,PS5,Ubisoft,Infinity Ward,Strategy,2023-06-21,56.85,26,America,2024-02-12,7
8de43098,Madden NFL,PS4,Electronic Arts,EA Sports,Simulation,2021-01-19,38.97,14,Asia,2023-10-15,7
22fe0aeb,Grand Theft Auto,Mobile,Blizzard Entertainment,Epic Games,Strategy,2022-12-08,51.79,31,Europe,2022-04-12,1
d0f495cd,Pokemon,Nintendo Switch,Ubisoft,Respawn Entertainment,First Person Shooter,2023-01-05,26.4,5,America,2019-10-15,8
